Month,Monthly Growth of Nominal Exchange Rate (%),Real Exchange Rate (%),Monthly Growth in the Real Exchange Rate (%),Monthly Inflation Rate Germany(%),Monthly Growth in Industrial Production (%),Yearly Growth of Industrial Production (%),International Reserve Index Germany,Monthly Inflation Rate US(%),International Reserve Index US
1972-07-01,-0.34688278526281424,1.7159552295105556,-0.6604948064132476,0.7968276267916297,-9.45963127781313,-7.240740458669688,537.0512153488032,0.47961630695430024,60.94389564255871
1972-08-01,0.813265403250929,1.7340391644045932,1.0538698552872816,0.0,-6.586153630108138,-19.876113590514194,532.125349269527,0.23866348448682295,61.10014788569753
1972-09-01,0.2040303848967362,1.7246722389287474,-0.5401795800305309,0.9881286588929283,17.393265183403585,2.0819016121175538,522.8327082602462,0.23809523809517064,61.5361535399337
1972-10-01,0.4510854244435425,1.7338957483591853,0.5347978138829923,0.391396735430094,3.1117940837494196,-31.348331111162985,517.2421859217162,0.4750593824226712,61.981577412494595
1972-11-01,-0.08108023827645416,1.7264890077614556,-0.427173352535104,0.584806190805276,6.631892697466557,192.13859910581644,510.33073912920077,0.23640661938579832,61.95310994214199
1972-12-01,-0.1872600730898677,1.7206514899973797,-0.33811496846103406,0.38757274231453476,-2.271139063591998,-78.77358490565956,501.4513588136061,0.2358490566036986,61.226655766210236
1973-01-01,-0.025014852576532576,1.7045252767347454,-0.9372155463427956,1.1582916422800293,-10.117983553807585,34.49257400410181,500.36064597311565,0.23529411764700026,60.77511281939045
1973-02-01,-5.854940107545414,1.606827664308786,-5.731661111715091,0.5725298547303526,9.546539379474982,147.75873291386318,626.9852649916514,0.7042253521124975,61.43756324408072
1973-03-01,-6.086176507785835,1.5116298510337458,-5.924581421492503,0.7590274807077302,-0.6899055918664687,-116.60253326920215,683.5533066701889,0.9324009324011895,61.464523067412394
1973-04-01,0.3502069050903778,1.5188527609072409,0.4778226540416375,0.5649518057732728,5.728214503351614,1.1940868784305831,676.4809279276723,0.6928406466510939,61.33124044081507
1973-05-01,-1.5545685284667932,1.4943357740316279,-1.6141779839784154,0.7490777252877834,-2.708933717579176,8.851095242826231,667.5709312816615,0.6880733944952366,61.3875842248821
1973-06-01,,1.381445509381364,,0.5576312028359176,2.203791469194294,-296.954576921015,699.8031353992874,0.683371298405766,61.379543457618226
1973-07-01,,1.248773145360482,,0.36969261385479957,-16.693716670531046,76.47322797543843,743.4854201216114,0.2262443438913575,61.40144831407527
1973-08-01,3.8557107376641753,1.3203429430078129,5.731208899969653,0.0,0.0,-100.0,721.5514308762191,1.8058690744921169,61.42728481143537
1973-09-01,-0.024750433142783912,1.3229430174933974,0.19692417787013916,0.0,18.8004453103257,8.090373555994685,763.7683247044495,0.22172949002210451,61.44862800490639
1973-10-01,-0.4538702758102975,1.3188776203521535,-0.30729948965955156,0.7366320815753946,-1.5110694623402865,-148.55942975891224,757.7958060033485,0.8849557522121687,66.89353923028992
1973-11-01,1.2365835104097722,1.4014038296214844,6.257306060534673,0.819573418077868,6.636536631779166,0.07002426794967985,730.5440543119607,0.6578947368424126,66.91825240167752
1973-12-01,2.927037296629842,1.438865076971365,2.6731229470094098,0.9025147545803414,-1.8960517510595354,-16.515382899505525,706.6943411509618,0.6535947712416723,66.94240391007911
1974-01-01,5.857094431374854,1.5254126279858222,6.0149872562498485,0.7155769527095845,-12.789904502046333,26.407642728706104,682.1218904425509,0.8658008658011029,67.81509591853052
1974-02-01,-3.4265584982303365,1.4789759617599585,-3.0442036058911714,0.888116037211284,7.0655716334244945,-25.98813713987875,683.6018812064442,1.287553648068318,68.17714696845485
1974-03-01,-3.419181313665365,1.444022879345773,-2.3633299876349434,0.17603114217681348,1.3880433459150465,-301.19323024471186,708.2103742727107,1.271186440678096,67.92154509624875
1974-04-01,-3.746232786688386,1.3859984314062137,-4.018249902373272,0.7030008753426742,2.714062687642671,-52.61939499551465,731.8430478043421,0.4184100418408887,68.17187828914523
1974-05-01,-2.5484523017511918,1.3604375417825807,-1.8442221177479512,0.52356995513958,-1.1341049924003643,-58.134634855006674,740.8568689741829,1.2500000000001288,69.230894691577
1974-06-01,2.7249064595432415,1.4041347590813489,3.2119973138577063,0.34722865186302965,5.451750236518449,147.38049460331237,735.3438376964259,0.8230452674895083,69.58817188684475
1974-07-01,1.061049964787797,1.4256844195030727,1.5347287916882335,0.3459991869367185,-17.875967253560564,7.082009395286502,727.5665151394116,0.8163265306124767,69.42842638020542
1974-08-01,2.522917810280867,1.476859781808975,3.5895294642933395,0.1724170117746393,-5.626109517957167,0.0,709.3124983773529,1.2145748987855587,71.98092895108879
1974-09-01,1.7042414985495746,1.5174415633851506,2.7478425559444686,0.17212024718775698,17.204456663290447,-8.48910023508163,697.1174538638352,1.199999999999668,73.99714253098226
